passage	node	occurrence	OSMmorph	OSMtype	BHStype	OSMmorphSuffix	OSMsuffixType	BHSsuffixType
Genesis 1:2	15	הָיְתָ֥ה	HVqp3fs	verb	verb:copulative verb:	None	?	:
Genesis 1:3	35	יְהִ֣י	HVqj3ms	verb	verb:copulative verb:	None	?	:
Genesis 1:3	38	יְהִי	HVqw3ms	verb	verb:copulative verb:	None	?	:
Genesis 1:4	51	בֵּ֥ין	HR	preposition	noun:potential preposition:	None	?	:
Genesis 1:4	55	בֵ֥ין	HR	preposition	noun:potential preposition:	None	?	:
Genesis 1:5	61	לָ	HRd	definite article	preposition::	None	?	:
Genesis 1:5	64	יֹ֔ום	HNcmsa	common	noun:potential adverb:	None	?	:
Genesis 1:5	66	לַ	HRd	definite article	preposition::	None	?	:
Genesis 1:5	70	לָ֑יְלָה	HNcmsa	common	noun:potential adverb:	None	?	:
Genesis 1:5	72	יְהִי	HVqw3ms	verb	verb:copulative verb:	None	?	:
Genesis 1:5	73	עֶ֥רֶב	HNcmsa	common	noun:potential adverb:	None	?	:
Genesis 1:5	75	יְהִי	HVqw3ms	verb	verb:copulative verb:	None	?	:
Genesis 1:5	76	בֹ֖קֶר	HNcmsa	common	noun:potential adverb:	None	?	:
Genesis 1:5	77	יֹ֥ום	HNcmsa	common	noun:potential adverb:	None	?	:
Genesis 1:6	82	יְהִ֥י	HVqj3ms	verb	verb:copulative verb:	None	?	:
Genesis 1:6	89	יהִ֣י	HVqi3ms	verb	verb:copulative verb:	None	?	:
Genesis 1:6	91	בֵּ֥ין	HR	preposition	noun:potential preposition:	None	?	:
Genesis 1:7	103	בֵּ֤ין	HR	preposition	noun:potential preposition:	None	?	:
Genesis 1:7	109	לָ	HRd	definite article	preposition::	None	?	:
Genesis 1:7	113	בֵ֣ין	HR	preposition	noun:potential preposition:	None	?	:
Genesis 1:7	119	לָ	HRd	definite article	preposition::	None	?	:
Genesis 1:7	123	יְהִי	HVqw3ms	verb	verb:copulative verb:	None	?	:
Genesis 1:7	124	כֵֽן	HD	adverb	adverb:anaphoric adverb:	None	?	:
Genesis 1:8	128	לָֽ	HRd	definite article	preposition::	None	?	:
Genesis 1:8	133	יְהִי	HVqw3ms	verb	verb:copulative verb:	None	?	:
Genesis 1:8	134	עֶ֥רֶב	HNcmsa	common	noun:potential adverb:	None	?	:
Genesis 1:8	136	יְהִי	HVqw3ms	verb	verb:copulative verb:	None	?	:
Genesis 1:8	137	בֹ֖קֶר	HNcmsa	common	noun:potential adverb:	None	?	:
Genesis 1:8	138	יֹ֥ום	HNcmsa	common	noun:potential adverb:	None	?	:
Genesis 1:9	159	כֵֽן	HD	adverb	adverb:anaphoric adverb:	None	?	:
Genesis 1:10	163	לַ	HRd	definite article	preposition::	None	?	:
Genesis 1:11	203	כֵֽן	HD	adverb	adverb:anaphoric adverb:	None	?	:
Genesis 1:13	230	עֶ֥רֶב	HNcmsa	common	noun:potential adverb:	None	?	:
