passage	node	occurrence	OSMmorph	OSMmorphSuffix	OSMtype	OSMsuffixType	BHStype	BHSsuffixType
Genesis 1:1	5	אֵ֥ת	HTo	None	particle	?	preposition:-:?	-:-
Genesis 1:1	9	אֵ֥ת	HTo	None	particle	?	preposition:-:?	-:-
Genesis 1:2	15	הָיְתָ֥ה	HVqp3fs	None	verb	?	verb:copulative verb:?	-:-
Genesis 1:3	33	יֹּ֥אמֶר	HVqw3ms	None	verb	?	verb:quotation verb:?	-:-
Genesis 1:3	35	יְהִ֣י	HVqj3ms	None	verb	?	verb:copulative verb:?	-:-
Genesis 1:3	38	יְהִי	HVqw3ms	None	verb	?	verb:copulative verb:?	-:-
Genesis 1:4	43	אֶת	HTo	None	particle	?	preposition:-:?	-:-
Genesis 1:4	51	בֵּ֥ין	HR	None	preposition	?	noun:potential preposition:?	-:-
Genesis 1:4	55	בֵ֥ין	HR	None	preposition	?	noun:potential preposition:?	-:-
Genesis 1:5	64	יֹ֔ום	HNcmsa	None	noun	?	noun:potential adverb:?	-:-
Genesis 1:5	70	לָ֑יְלָה	HNcmsa	None	noun	?	noun:potential adverb:?	-:-
Genesis 1:5	72	יְהִי	HVqw3ms	None	verb	?	verb:copulative verb:?	-:-
Genesis 1:5	73	עֶ֥רֶב	HNcmsa	None	noun	?	noun:potential adverb:?	-:-
Genesis 1:5	75	יְהִי	HVqw3ms	None	verb	?	verb:copulative verb:?	-:-
Genesis 1:5	76	בֹ֖קֶר	HNcmsa	None	noun	?	noun:potential adverb:?	-:-
Genesis 1:5	77	יֹ֥ום	HNcmsa	None	noun	?	noun:potential adverb:?	-:-
Genesis 1:6	80	יֹּ֣אמֶר	HVqw3ms	None	verb	?	verb:quotation verb:?	-:-
Genesis 1:6	82	יְהִ֥י	HVqj3ms	None	verb	?	verb:copulative verb:?	-:-
Genesis 1:6	89	יהִ֣י	HVqi3ms	None	verb	?	verb:copulative verb:?	-:-
Genesis 1:6	91	בֵּ֥ין	HR	None	preposition	?	noun:potential preposition:?	-:-
Genesis 1:7	98	אֶת	HTo	None	particle	?	preposition:-:?	-:-
Genesis 1:7	103	בֵּ֤ין	HR	None	preposition	?	noun:potential preposition:?	-:-
