passage	node	occurrence	OSMmorph	stemOSM	stemBHS	conjOSM	conjBHS	personOSM	personBHS	genderOSM	genderBHS	numberOSM	numberBHS
Genesis 1:4	47	טֹ֑וב	HAamsa	?	qal	?	perfect	s	3	a	m	?	s
Genesis 1:10	178	טֹֽוב	HAamsa	?	qal	?	perfect	s	3	a	m	?	s
Genesis 1:12	227	טֹֽוב	HAamsa	?	qal	?	perfect	s	3	a	m	?	s
Genesis 1:18	351	טֹֽוב	HAamsa	?	qal	?	perfect	s	3	a	m	?	s
Genesis 1:21	413	טֹֽוב	HAamsa	?	qal	?	perfect	s	3	a	m	?	s
Genesis 1:25	494	טֹֽוב	HAamsa	?	qal	?	perfect	s	3	a	m	?	s
Genesis 8:10	3740	יָּ֣חֶל	HVpw3ms	piel	qal	wayyiqtol	wayyiqtol	3	3	m	m	s	s
Genesis 12:15	5773	תֻּקַּ֥ח	HVQw3fs	qalpassive	hophal	wayyiqtol	wayyiqtol	3	3	f	f	s	s
Genesis 18:1	7815	חֹ֥ם	HNcmsc	tiphil	qal	?	inf cons	s	?	c	?	?	?
Genesis 18:2	7840	יִּשְׁתַּ֖חוּ	HVtw3ms	hithpael	hishtaphel	wayyiqtol	wayyiqtol	3	3	m	m	s	s
Genesis 18:4	7857	יֻקַּֽח	HVQj3ms	qalpassive	hophal	jussive	imperfect	3	3	m	m	s	s
Genesis 19:1	8447	יִּשְׁתַּ֥חוּ	HVtw3ms	hithpael	hishtaphel	wayyiqtol	wayyiqtol	3	3	m	m	s	s
Genesis 19:16	8774	יִּתְמַהְמָ֓הּ	HVfw3ms	hithpalpel	hithpael	wayyiqtol	wayyiqtol	3	3	m	m	s	s
Genesis 21:16	9883	מְטַחֲוֵ֣י	HVkrmpc	palel	piel	part act	part act	_	?	m	m	p	p
Genesis 23:7	10836	יִּשְׁתַּ֥חוּ	HVtw3ms	hithpael	hishtaphel	wayyiqtol	wayyiqtol	3	3	m	m	s	s
Genesis 23:12	10939	יִּשְׁתַּ֨חוּ֙	HVtw3ms	hithpael	hishtaphel	wayyiqtol	wayyiqtol	3	3	m	m	s	s
Genesis 24:26	11611	יִּשְׁתַּ֖חוּ	HVtw3ms	hithpael	hishtaphel	wayyiqtol	wayyiqtol	3	3	m	m	s	s
Genesis 24:33	11763	יישׂם	HVQw3ms	qalpassive	hophal	wayyiqtol	wayyiqtol	3	3	m	m	s	s
Genesis 24:52	12151	יִּשְׁתַּ֥חוּ	HVtw3ms	hithpael	hishtaphel	wayyiqtol	wayyiqtol	3	3	m	m	s	s
Genesis 24:59	12263	מֵנִקְתָּ֑הּ	HVhrfsc	hiphil	?	part act	?	_	_	f	f	s	s
Genesis 26:13	13242	גָדֵ֔ל	HVqrmsa	qal	?	part act	?	_	_	m	m	s	s
Genesis 27:12	13829	מְתַעְתֵּ֑עַ	HVlrmsa	pilpel	piel	part act	part act	_	?	m	m	s	s
Genesis 27:29	14112	ישׁתחו	HVvj3ms	hishtaphel	hishtaphel	jussive	imperfect	3	3	m	m	s	p
Genesis 29:27	15428	נִתְּנָ֨ה	HVNq3fs	niphal	qal	weqatal	imperfect	3	1	f	?	s	p
Genesis 30:11	15747	ב	HR	?	qal	?	perfect	?	3	?	m	?	s
Genesis 30:27	16018	נִחַ֕שְׁתִּי	HVpp1cs	piel	niphal	perfect	perfect	1	1	c	?	s	s
Genesis 30:42	16354	עֲטֻפִים֙	HVqsmpa	qal	?	part pass	?	_	_	m	m	p	p
Genesis 31:27	16871	אֲשַׁלֵּחֲךָ֛	HVpi1cs	piel	piel	imperfect	wayyiqtol	1	1	c	?	s	s
Genesis 33:3	18135	יִּשְׁתַּ֤חוּ	HVtw3ms	hithpael	hishtaphel	wayyiqtol	wayyiqtol	3	3	m	m	s	s
Genesis 33:7	18201	יִּֽשְׁתַּחֲו֑וּ	HVtw3mp	hithpael	hishtaphel	wayyiqtol	wayyiqtol	3	3	m	m	p	p
Genesis 33:7	18209	יִּֽשְׁתַּחֲוֽוּ	HVtw3mp	hithpael	hishtaphel	wayyiqtol	wayyiqtol	3	3	m	m	p	p
Genesis 37:10	20376	הִשְׁתַּחֲוֹ֥ת	HVtc	hithpael	hishtaphel	inf cons	inf cons	_	?	?	?	?	?
Genesis 39:20	21838	אסורי	HVqsmpc	qal	?	part pass	?	_	_	m	m	p	p
Genesis 40:1	21928	אֹפֶ֑ה	HVqrmsa	qal	?	part act	?	_	_	m	m	s	s
Genesis 40:2	21943	מַּשְׁקִ֔ים	HNcmpa	tiphil	hiphil	?	part act	p	?	a	m	?	p
Genesis 40:2	21948	אֹופִֽים	HVqrmpa	qal	?	part act	?	_	_	m	m	p	p
Genesis 40:5	21997	מַּשְׁקֶ֣ה	HNcmsa	tiphil	hiphil	?	part act	s	?	a	m	?	s
Genesis 40:5	22000	אֹפֶ֗ה	HVqrmsa	qal	?	part act	?	_	_	m	m	s	s
Genesis 40:9	22067	מַּשְׁקִ֛ים	HNcmpa	tiphil	hiphil	?	part act	p	?	a	m	?	p
Genesis 40:16	22206	אֹפִ֖ים	HVqrmpa	qal	?	part act	?	_	_	m	m	p	p
Genesis 40:17	22236	אֹפֶ֑ה	HVqrmsa	qal	?	part act	?	_	_	m	m	s	s
Genesis 40:20	22307	מַּשְׁקִ֗ים	HNcmpa	tiphil	hiphil	?	part act	p	?	a	m	?	p
Genesis 40:20	22313	אֹפִ֖ים	HVqrmpa	qal	?	part act	?	_	_	m	m	p	p
Genesis 40:21	22322	מַּשְׁקִ֖ים	HNcmpa	tiphil	hiphil	?	part act	p	?	a	m	?	p
Genesis 40:22	22336	אֹפִ֖ים	HVqrmpa	qal	?	part act	?	_	_	m	m	p	p
Genesis 40:23	22348	מַּשְׁקִ֛ים	HNcmpa	tiphil	hiphil	?	part act	p	?	a	m	?	p
Genesis 41:9	22517	מַּשְׁקִ֔ים	HNcmpa	tiphil	hiphil	?	part act	p	?	a	m	?	p
Genesis 41:10	22546	אֹפִֽים	HVqrmpa	qal	?	part act	?	_	_	m	m	p	p
Genesis 41:23	22768	צְנֻמֹ֥ות	HVqsfpa	qal	?	part pass	?	_	_	f	f	p	p
Genesis 42:6	23531	יִּשְׁתַּֽחֲווּ	HVtw3mp	hithpael	hishtaphel	wayyiqtol	wayyiqtol	3	3	m	m	p	p
Genesis 42:38	24118	מֵ֜ת	HVqp3ms	qal	qal	perfect	part act	3	?	m	m	s	s
Genesis 43:10	24315	הִתְמַהְמָ֑הְנוּ	HVfp1cp	hithpalpel	hithpael	perfect	perfect	1	1	c	?	p	p
Genesis 43:26	24672	יִּשְׁתַּחֲווּ	HVtw3mp	hithpael	hishtaphel	wayyiqtol	wayyiqtol	3	3	m	m	p	p
Genesis 43:28	24704	ישׁתחו	HVvw3ms	hishtaphel	hishtaphel	wayyiqtol	wayyiqtol	3	3	m	m	s	p
Genesis 44:28	25334	טֹרָ֑ף	HVQp3ms	qalpassive	pual	perfect	perfect	3	3	m	m	s	s
Genesis 45:11	25667	כִלְכַּלְתִּ֤י	HVlq1cs	pilpel	piel	weqatal	perfect	1	1	c	?	s	s
Genesis 47:12	26790	יְכַלְכֵּ֤ל	HVlw3ms	pilpel	piel	wayyiqtol	wayyiqtol	3	3	m	m	s	s
Genesis 47:31	27292	יִּשְׁתַּ֥חוּ	HVtw3ms	hithpael	hishtaphel	wayyiqtol	wayyiqtol	3	3	m	m	s	s
Genesis 48:12	27526	יִּשְׁתַּ֥חוּ	HVtw3ms	hithpael	hishtaphel	wayyiqtol	wayyiqtol	3	3	m	m	s	s
Genesis 49:10	27909	מְחֹקֵ֖ק	HVmrmsa	poel	piel	part act	part act	_	?	m	m	s	s
Genesis 49:15	27976	טֹ֔וב	HAamsa	?	qal	?	perfect	s	3	a	m	?	s
Genesis 49:22	28044	פֹּרָת֙	HVqrfsc	qal	?	part act	?	_	_	f	f	s	s
Genesis 49:22	28047	פֹּרָ֖ת	HVqrfsc	qal	?	part act	?	_	_	f	f	s	s
Genesis 50:5	28348	תִּקְבְּרֵ֑נִי	HVqv2ms	qal	qal	imperative	imperfect	2	2	m	m	s	s
Genesis 50:21	28653	אֲכַלְכֵּ֥ל	HVli1cs	pilpel	piel	imperfect	imperfect	1	1	c	?	s	s
Exodus 3:2	29676	אֻכָּֽל	HVQsmsa	qalpassive	qalpassive	part pass	part pass	_	?	m	m	s	s
Exodus 5:7	30953	קֹשְׁשׁ֥וּ	HVmq3cp	poel	piel	weqatal	perfect	3	3	c	?	p	p
Exodus 5:12	31043	קֹשֵׁ֥שׁ	HVmc	poel	piel	inf cons	inf cons	_	?	?	?	?	?
Exodus 5:16	31123	חָטָ֥את	HVqq2ms	qal	qal	weqatal	perfect	2	2	m	f	s	s
Exodus 8:22	32877	נָכֹון֙	HVNrmsa	niphal	niphal	part act	perfect	_	3	m	m	s	s
Exodus 12:11	34886	חֲגֻרִ֔ים	HVqrmpa	qal	qal	part act	part pass	_	?	m	m	p	p
Exodus 12:27	35322	יִּֽשְׁתַּחֲוּֽוּ	HVtw3mp	hithpael	hishtaphel	wayyiqtol	wayyiqtol	3	3	m	m	p	p
Exodus 12:39	35556	הִתְמַהְמֵ֔הַּ	HVfc	hithpalpel	hithpael	inf cons	inf cons	_	?	?	?	?	?
Exodus 16:2	37382	ילינו	HVhw3mp	hiphil	niphal	wayyiqtol	wayyiqtol	3	3	m	m	p	p
Exodus 16:7	37525	תלונו	HVNi2mp	niphal	hiphil	imperfect	imperfect	2	2	m	m	p	p
Exodus 18:7	38590	יִּשְׁתַּ֨חוּ֙	HVtw3ms	hithpael	hishtaphel	wayyiqtol	wayyiqtol	3	3	m	m	s	s
Exodus 21:8	40137	רָעָ֞ה	HAafsa	?	qal	?	perfect	s	3	a	f	?	s
Exodus 22:3	40644	הִמָּצֵא֩	HVNa	niphal	niphal	inf abs	inf cons	_	?	?	?	?	?
Exodus 25:33	42483	מְֽשֻׁקָּדִ֞ים	HVPsmpa	pual	?	part pass	?	_	_	m	m	p	p
Exodus 25:33	42495	מְשֻׁקָּדִ֛ים	HVPsmpa	pual	?	part pass	?	_	_	m	m	p	p
Exodus 25:34	42520	מְשֻׁקָּדִ֔ים	HVPsmpa	pual	?	part pass	?	_	_	m	m	p	p
Exodus 26:13	42898	סָר֜וּחַ	HVqsmsa	qal	?	part pass	?	_	_	m	m	s	s
Exodus 32:8	46673	יִּשְׁתַּֽחֲווּ	HVtw3mp	hithpael	hishtaphel	wayyiqtol	wayyiqtol	3	3	m	m	p	p
Exodus 34:8	47947	יִּשְׁתָּֽחוּ	HVtw3ms	hithpael	hishtaphel	wayyiqtol	wayyiqtol	3	3	m	m	s	s
Exodus 37:19	50254	מְֽשֻׁקָּדִ֞ים	HVPsmpa	pual	?	part pass	?	_	_	m	m	p	p
Exodus 37:19	50266	מְשֻׁקָּדִ֛ים	HVPsmpa	pual	?	part pass	?	_	_	m	m	p	p
